method,url,controller_class,handler_method,request_dto,response_dto,auth_required,backend_file,handler_line
POST,/v1/leases/{number}/activate,LeasingController,activate,,LeaseContract,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/LeasingController.java,28
POST,/v1/leases/{number}/depreciate,LeasingController,depreciate,,LeaseContract,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/leasing/controller/LeasingController.java,32
POST,/v1/leases/{number}/purchase-option,LeasingController,buyout,,LeaseContract,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/LeasingController.java,36
POST,/v1/leases/{number}/early-terminate,LeasingController,terminate,,LeaseContract,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/LeasingController.java,40
GET,/v1/leases/customer/{customerId},LeasingController,byCustomer,,List<LeaseContract,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/LeasingController.java,44
GET,/v1/leases/asset-category/{category},LeasingController,byAsset,,List<LeaseContract,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/LeasingController.java,48
PUT,/v1/corporate-leases/{id},CorporateLeaseController,update,CorporateLeasePortfolio,CorporateLeasePortfolio,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/CorporateLeaseController.java,26
GET,/v1/corporate-leases/customer/{customerId},CorporateLeaseController,summary,,CorporateLeasePortfolio,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/CorporateLeaseController.java,32
GET,/v1/corporate-leases/customer/{customerId}/maturity,CorporateLeaseController,maturity,,List<CorporateLeasePortfolio,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/leasing/controller/CorporateLeaseController.java,37
GET,/v1/tenants/{tenantCode},TenantController,get,,Tenant,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/tenant/controller/TenantController.java,28
POST,/v1/tenants/{tenantCode}/deactivate,TenantController,deactivate,,Tenant,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/tenant/controller/TenantController.java,40
POST,/v1/pos-terminals/{terminalId}/heartbeat,PosTerminalController,heartbeat,,PosTerminal,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/posterminal/controller/PosTerminalController.java,15
POST,/v1/pos-terminals/{terminalId}/heartbeat,PosTerminalController,heartbeat,,PosTerminal,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/posterminal/controller/PosTerminalController.java,15
POST,/v1/pos-terminals/{terminalId}/status,PosTerminalController,heartbeat,,PosTerminal,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/posterminal/controller/PosTerminalController.java,15
GET,/v1/pos-terminals/merchant/{merchantId},PosTerminalController,byMerchant,,List<PosTerminal,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/posterminal/controller/PosTerminalController.java,17
GET,/v1/pos-terminals/merchant/{merchantId},PosTerminalController,byMerchant,,List<PosTerminal,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/posterminal/controller/PosTerminalController.java,17
GET,/v1/message-analysis/message/{ref},MessageAnalysisController,analyze,MessageAnalysis,MessageAnalysis,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/msganalysis/controller/MessageAnalysisController.java,13
GET,/v1/message-analysis/action-required,MessageAnalysisController,actionRequired,,List<MessageAnalysis,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/msganalysis/controller/MessageAnalysisController.java,15
GET,/v1/message-analysis/action-required,MessageAnalysisController,actionRequired,,List<MessageAnalysis,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/msganalysis/controller/MessageAnalysisController.java,15
POST,/v1/securities-positions/movements,SecuritiesPositionController,recordMovement,SecuritiesMovement,SecuritiesMovement,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/secposition/controller/SecuritiesPositionController.java,24
GET,/v1/securities-positions/portfolio/{code},SecuritiesPositionController,getByPortfolio,,List<SecuritiesPosition,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/SecuritiesPositionController.java,28
GET,/v1/securities-positions/{positionId}/movements,SecuritiesPositionController,getMovements,,List<SecuritiesMovement,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/SecuritiesPositionController.java,32
POST,/v1/valuations/models,ValuationController,defineModel,ValuationModel,ValuationModel,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,25
GET,/v1/valuations/models,ValuationController,getAllModels,,List<ValuationModel,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,31
GET,/v1/valuations/models/{code},ValuationController,getModel,,ValuationModel,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,37
POST,/v1/valuations/runs,ValuationController,runValuation,,ValuationRun,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,43
POST,/v1/valuations/runs/{ref}/instruments,ValuationController,recordInstrument,InstrumentValuation,InstrumentValuation,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,52
POST,/v1/valuations/runs/{ref}/complete,ValuationController,completeRun,,ValuationRun,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,61
GET,/v1/valuations/runs/{ref}/summary,ValuationController,getSummary,,ValuationRun,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,67
GET,/v1/valuations/runs/{ref}/exceptions,ValuationController,getExceptions,,List<InstrumentValuation,"""hasAnyRole('CBS_ADMIN','CBS_OFFICER'",/src/main/java/com/cbs/secposition/controller/ValuationController.java,73
POST,/v1/guideline-assessments/{code}/complete,GuidelineComplianceController,complete,,GuidelineAssessment,"""hasRole('CBS_ADMIN'",/src/main/java/com/cbs/guidelinecompliance/controller/GuidelineComplianceController.java,31
