method,url,caller_file,caller_line,enclosing_function,response_type,query_key,used_by_pages
GET,/v1/customers/{},/cbs-frontend/src/features/customers/api/customerApi.ts,552,response,BackendCustomerDetail,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/accounts/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,556,response,BackendAccountResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/loans/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,560,response,BackendLoanResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/cards/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,564,response,BackendCardResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/cases/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,568,response,BackendCaseResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/customers/{}/identifications,/cbs-frontend/src/features/customers/api/customerApi.ts,572,response,CustomerIdentification[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/notifications/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,581,response,BackendNotificationResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
POST,/v1/customers,/cbs-frontend/src/features/customers/api/customerApi.ts,590,response,BackendCustomerDetail,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
POST,/v1/customers/verify-bvn,/cbs-frontend/src/features/customers/api/customerApi.ts,602,response,BvnVerifyResult,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
GET,/v1/customers/segments,/cbs-frontend/src/features/customers/api/customerApi.ts,639,response,BackendSegmentResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx
