method,url,caller_file,caller_line,enclosing_function,response_type,query_key,used_by_pages,wave,module,suggested_controller
GET,/v1/customers/{},/cbs-frontend/src/features/customers/api/customerApi.ts,552,response,BackendCustomerDetail,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,customers,CustomersController
GET,/v1/accounts/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,556,response,BackendAccountResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,accounts,AccountsController
GET,/v1/loans/customer/{},/cbs-frontend/src/features/customers/api/customerApi.ts,560,response,BackendLoanResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,loans,LoansController
GET,/v1/customers/{}/identifications,/cbs-frontend/src/features/customers/api/customerApi.ts,572,response,CustomerIdentification[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,customers,CustomersController
POST,/v1/customers,/cbs-frontend/src/features/customers/api/customerApi.ts,590,response,BackendCustomerDetail,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,customers,CustomersController
POST,/v1/customers/verify-bvn,/cbs-frontend/src/features/customers/api/customerApi.ts,602,response,BvnVerifyResult,,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,customers,CustomersController
GET,/v1/customers/segments,/cbs-frontend/src/features/customers/api/customerApi.ts,639,response,BackendSegmentResponse[],,/cbs-frontend/src/app/router.tsx; /cbs-frontend/src/features/customers/pages/Customer360Page.tsx; /cbs-frontend/src/features/customers/pages/CustomerListPage.tsx; /cbs-frontend/src/features/customers/pages/KycDashboardPage.tsx; /cbs-frontend/src/features/customers/pages/OnboardingWizardPage.tsx; /cbs-frontend/src/features/customers/pages/SegmentationPage.tsx,1,customers,CustomersController
GET,/v1/reconciliation/nostro-accounts,/cbs-frontend/src/features/reconciliation/api/reconciliationApi.ts,56,getNostroAccounts,NostroAccount[],,/cbs-frontend/src/features/reconciliation/pages/ReconciliationWorkbenchPage.tsx,4,reconciliation,ReconciliationController
GET,/v1/reconciliation/sessions,/cbs-frontend/src/features/reconciliation/api/reconciliationApi.ts,63,getReconciliationSession,ReconciliationSession,,/cbs-frontend/src/features/reconciliation/pages/ReconciliationWorkbenchPage.tsx,4,reconciliation,ReconciliationController
POST,/v1/reconciliation/upload-statement,/cbs-frontend/src/features/reconciliation/api/reconciliationApi.ts,70,formData,{ entriesCount: number; dateRange: { from: string; to: string }; totalAmount: number },,/cbs-frontend/src/features/reconciliation/pages/ReconciliationWorkbenchPage.tsx,4,reconciliation,ReconciliationController
