wave,module,method,url,suggested_controller,callers
1,accounts,DELETE,/v1/accounts/{}/signatories/{},AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:93
1,accounts,GET,/v1/accounts,AccountsController,/cbs-frontend/src/features/payments/api/paymentApi.ts:148; /cbs-frontend/src/features/goals/pages/NewGoalPage.tsx:55
1,accounts,GET,/v1/accounts/customer/{},AccountsController,/cbs-frontend/src/features/customers/api/customerApi.ts:556; /cbs-frontend/src/features/accounts/api/accountOpeningApi.ts:305
1,accounts,GET,/v1/accounts/products,AccountsController,/cbs-frontend/src/features/accounts/api/accountOpeningApi.ts:269
1,accounts,GET,/v1/accounts/selector,AccountsController,/cbs-frontend/src/features/statements/components/StatementRequestForm.tsx:84
1,accounts,GET,/v1/accounts/summary,AccountsController,/cbs-frontend/src/features/dashboard/api/dashboardApi.ts:87
1,accounts,GET,/v1/accounts/{},AccountsController,/cbs-frontend/src/features/accounts/api/accountDetailApi.ts:234; /cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:76
1,accounts,GET,/v1/accounts/{}/holds,AccountsController,/cbs-frontend/src/features/accounts/api/accountDetailApi.ts:254
1,accounts,GET,/v1/accounts/{}/interest-history,AccountsController,/cbs-frontend/src/features/accounts/api/accountDetailApi.ts:250
1,accounts,GET,/v1/accounts/{}/linked-products,AccountsController,/cbs-frontend/src/features/accounts/api/accountDetailApi.ts:262
1,accounts,GET,/v1/accounts/{}/maintenance-history,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:80
1,accounts,GET,/v1/accounts/{}/transactions,AccountsController,/cbs-frontend/src/features/accounts/api/accountDetailApi.ts:239
1,accounts,PATCH,/v1/accounts/{}/limits,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:105
1,accounts,PATCH,/v1/accounts/{}/officer,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:109
1,accounts,PATCH,/v1/accounts/{}/signing-rule,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:97
1,accounts,PATCH,/v1/accounts/{}/status,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:85
1,accounts,POST,/v1/accounts,AccountsController,/cbs-frontend/src/features/accounts/api/accountOpeningApi.ts:280
1,accounts,POST,/v1/accounts/compliance-check,AccountsController,/cbs-frontend/src/features/accounts/api/accountOpeningApi.ts:298
1,accounts,POST,/v1/accounts/{}/holds/{}/release,AccountsController,/cbs-frontend/src/features/accounts/api/accountDetailApi.ts:258
1,accounts,POST,/v1/accounts/{}/interest-rate-override,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:101
1,accounts,POST,/v1/accounts/{}/signatories,AccountsController,/cbs-frontend/src/features/accounts/api/accountMaintenanceApi.ts:89
1,customers,GET,/v1/customers,CustomersController,/cbs-frontend/src/features/dashboard/hooks/useDashboardData.ts:14
1,customers,GET,/v1/customers/lookup,CustomersController,/cbs-frontend/src/features/contactcenter/api/contactCenterApi.ts:39
1,customers,GET,/v1/customers/quick-search,CustomersController,/cbs-frontend/src/features/accounts/api/accountOpeningApi.ts:327
